cluster,longitude,latitude
1,9.477322,13.830305
2,9.003385,13.81678
3,8.526407,14.618994
4,7.717057,14.260228
5,11.582362,14.036117
6,6.056261,14.421501
7,5.242637,14.472875
8,4.084311,13.795873
9,12.723801,13.625732
10,6.047022,14.041834
11,3.209863,13.93857
12,5.984054,14.05319
13,6.065801,14.425622
14,5.481203,14.513605
15,2.104359,13.554312
16,7.951191,15.501639
17,7.533823,14.785805
18,2.129718,13.507581
19,9.315335,13.802641
20,8.001711,16.963079
21,7.979774,13.766867
22,3.310956,12.943482
23,2.368993,13.098556
24,8.453234,13.865838
25,2.119883,13.512132
26,8.883408,14.823653
27,8.641508,13.652924
28,2.122797,13.518032
29,5.334692,15.319232
30,9.14896,13.712981
31,2.095603,13.534513
32,5.222166,14.481675
33,1.235421,13.888014
34,9.155118,13.712949
35,12.560429,13.331473
36,5.172603,15.078166
37,4.888981,14.374932
38,7.913569,13.468095
39,4.069094,13.644878
40,8.757253,13.298328
41,9.54517,14.105708
42,7.094106,13.501267
43,6.201667,14.259683
44,6.675877,14.968218
45,6.494614,13.824816
46,0.92055,14.205015
47,7.023896,13.598013
48,7.171589,13.295456
49,0.85249,13.902066
50,7.523116,16.91929
51,9.14088,13.693184
52,8.118876,13.869444
53,7.997477,16.980045
54,12.872801,13.478408
55,2.102579,13.521946
56,8.732608,13.882846
57,10.7539,13.557095
58,7.957052,17.119175
59,2.103007,13.485565
60,2.12155,13.500916
61,6.265393,15.474205
62,3.708891,13.109801
63,7.373584,18.740097
64,12.292988,13.386857
65,13.226436,13.575376
66,12.423276,13.169375
67,13.128241,13.840251
68,8.706651,13.241467
69,6.423261,14.102718
70,9.147496,13.723153
71,7.771147,13.499926
72,2.113681,13.529998
73,3.458534,11.892701
74,5.647455,14.692306
75,2.230192,13.51417
76,4.028644,13.970366
77,8.123532,13.793321
78,2.100801,13.524996
79,5.248909,13.796516
80,8.770645,14.144197
81,9.825957,13.063426
82,5.997536,14.157227
83,2.741258,14.629319
84,8.275754,13.483629
85,6.056464,14.454017
86,7.163617,13.300796
87,1.708603,13.67118
88,12.607103,13.325378
89,1.819584,13.113381
90,7.168079,13.276775
91,5.261272,13.805226
92,8.132208,14.076138
93,13.100357,14.249344
94,8.630487,14.490116
95,5.476521,15.187581
96,7.808704,13.968513
97,9.151336,13.70927
98,5.397023,14.147104
99,2.12921,13.505312
100,7.416619,18.763457
101,11.525518,13.684246
102,7.868095,14.177987
103,7.097166,14.174452
104,2.619741,14.883724
105,8.215475,17.472184
106,0.765309,14.003429
107,4.492239,14.974681
108,0.925537,14.206253
109,3.288041,12.252528
110,5.801793,15.889128
111,13.148605,14.050894
112,6.78414,13.598227
113,3.185546,13.213425
114,3.300791,13.438297
115,2.094584,13.49378
116,7.177171,13.424679
117,2.132866,13.545613
118,3.691965,12.86885
119,12.599056,13.303655
120,5.502428,14.934658
121,9.039308,17.827163
122,5.10363,14.716127
123,2.092072,13.536183
124,8.567292,13.371717
125,7.869053,13.433101
126,9.074941,14.507777
127,2.101854,13.53832
128,9.570931,13.507786
129,3.079927,13.546029
130,4.427244,14.039138
131,7.12462,14.015018
132,5.119461,14.471595
133,2.047939,14.338065
134,7.81634,16.692028
135,3.500261,13.475021
136,1.461177,14.200307
137,8.007945,16.979053
138,8.726521,14.836464
139,3.773979,12.628321
140,7.253144,15.340977
141,5.592242,13.95968
142,9.572421,13.084447
143,8.982446,18.32019
144,2.37124,13.087091
145,9.223496,13.058997
146,13.111477,14.235156
147,7.393027,18.731099
148,3.91125,14.358704
149,7.021653,13.617797
150,4.864783,13.975312
151,7.658365,13.948064
152,3.463108,14.327824
153,6.324565,14.268518
154,8.491822,14.050409
155,7.791436,13.355682
156,4.090268,13.310549
157,9.149961,13.704859
158,5.788451,14.73486
159,2.836031,13.392295
160,2.134399,13.523014
161,3.532956,12.273765
162,8.591482,13.63836
163,9.126406,13.236104
164,2.11984,13.512934
165,9.402015,13.138165
166,7.073187,15.364128
167,2.776362,13.167921
168,7.237749,13.514974
169,9.740195,14.278602
170,1.764066,13.126015
171,9.246604,13.824261
172,2.70642,13.064872
173,2.101709,13.51833
174,12.957028,13.746035
175,6.651167,13.822947
176,2.106524,13.526463
177,9.143768,13.704152
178,8.918094,12.987427
179,13.618335,15.05199
180,8.926069,14.771149
181,5.89744,14.197094
182,3.02942,13.910287
183,2.102182,13.522168
184,6.565085,14.089936
185,3.446637,11.89065
186,2.124319,13.52045
187,10.170313,13.821103
188,7.760081,13.518319
189,12.03502,13.500315
190,9.101614,13.879158
191,6.928694,14.443592
192,4.045542,13.206197
193,7.98963,16.982223
194,2.104138,13.520737
195,2.979689,13.083795
196,6.42149,14.107008
197,8.181971,14.117057
198,2.090407,13.498603
199,8.496116,17.076669
200,11.378988,14.069786
201,9.642431,14.066741
202,3.960976,13.062003
203,8.003039,16.976847
204,2.961964,14.063156
205,2.343226,13.306534
206,9.21486,17.794837
207,3.193492,13.052713
208,9.111718,13.956525
209,2.125104,13.512294
210,5.724294,14.10359
211,11.833175,13.614411
212,7.214377,14.923435
213,4.180977,14.700159
214,7.521593,14.201221
215,2.098431,13.495116
216,2.518495,13.862143
217,2.087972,13.524201
218,1.89013,13.725977
219,3.772118,12.637286
220,8.861958,14.98338
221,7.093268,13.504932
222,5.410526,14.131415
223,5.315213,14.394213
224,2.941776,12.669636
225,7.417007,14.031632
226,5.607925,13.954912
227,2.465186,14.325318
228,7.853778,13.436818
229,9.22223,14.061025
230,2.100069,13.523483
231,7.975275,16.965982
232,2.773802,13.651623
233,3.301817,14.34817
234,1.372729,14.234132
235,7.472375,13.335012
236,3.394464,12.313789
237,10.215893,13.451805
238,6.900655,14.107654
239,3.859719,12.918536
240,8.468324,13.425477
241,4.003282,13.674953
242,7.101914,13.790869
243,7.846485,13.407769
244,12.857278,13.607769
245,9.163737,13.704708
246,7.103824,13.498272
247,2.413421,13.832131
248,3.401657,13.072286
249,2.960285,13.316844
250,2.092713,13.519242
251,12.151089,13.812247
252,3.496834,14.573431
253,1.26598,13.931496
254,7.081051,13.58107
255,8.392895,14.246959
256,2.122491,13.503078
257,1.302484,14.484393
258,7.838407,13.823351
259,2.100551,13.489149
260,1.123867,14.523239
261,3.191654,13.052726
262,6.275965,15.452386
263,7.049829,13.625101
264,8.643429,14.64698
265,9.054937,13.548959
266,9.240955,13.421588
267,3.577544,11.94299
268,6.382831,14.206328
269,8.575511,13.954338
270,8.625158,13.136845
271,0.734749,14.018616
272,12.421522,13.202722
273,2.105865,13.517323
274,7.092635,13.487429
275,2.101712,13.523895
276,2.253316,13.579593
277,6.757373,14.508707
278,8.705353,15.153007
279,9.404278,13.413288
280,6.481703,14.342629
281,9.343279,13.433844
282,10.005157,14.399007
283,7.386716,18.738488
284,3.355205,13.648839
285,2.156602,13.52994
286,6.348489,13.833192
287,9.5606,13.844635
288,7.304144,13.504093
289,8.894275,14.972153
290,7.832805,17.255836
291,2.867057,13.086258
292,7.252235,13.324955
293,4.32202,13.606774
294,2.108282,13.539274
295,12.614954,13.306895
296,9.412546,13.134411
297,13.116521,14.247936
298,11.245093,13.510716
299,13.151089,14.137747
300,7.197283,14.607342
301,0.220349,14.673587
302,9.165685,13.713386
303,5.641464,16.060052
304,6.010363,14.572969
305,12.483332,13.272085
306,10.041179,13.771147
307,5.355033,14.085247
308,8.82919,15.348176
309,3.345624,12.302839
310,8.256112,15.020116
311,6.167519,14.231576
312,5.324351,15.09829
313,6.627271,14.665053
314,6.84487,14.474292
315,11.450671,13.710383
316,2.109854,13.527881
317,6.238791,15.465924
318,5.484381,13.99119
319,7.381234,18.738543
320,1.284336,13.926454
321,2.161705,14.135007
322,2.118318,13.502438
323,2.014161,13.089596
324,13.117546,14.253184
325,2.176214,12.73632
326,12.023665,13.20826
327,3.039091,12.522884
328,9.873878,15.502528
329,3.193665,13.050633
330,7.116594,13.505048
331,2.983477,13.258125
332,3.817348,13.443923
333,4.257075,13.620169
334,2.10108,13.532503
335,5.556903,14.865054
336,5.431918,14.405052
337,2.130556,13.505624
338,6.068761,14.457238
339,10.293844,14.191368
340,2.022277,14.488503
341,8.001248,16.976698
342,5.269874,14.896667
343,6.206465,14.762743
344,7.374038,18.726908
345,3.245558,13.760098
346,7.992252,14.276995
347,2.829528,13.97739
348,11.931204,13.370808
349,12.019772,13.205559
350,6.342702,14.00068
351,3.69218,13.491011
352,12.116649,13.490148
353,10.716512,14.194077
354,11.245375,13.857026
355,7.170628,13.337201
356,8.474368,13.337703
357,12.61521,13.29863
358,5.862721,14.91676
359,13.169906,13.624698
360,13.40776,13.817691
